well,core,section,cum_depth_cm,bottom_elev_m,top_elev_m,inundation_fraction,dry_fraction
WLW1,1.0,1.0,2.72727272727,184.848557673,184.8758304,0.219088937093,0.780911062907
WLW1,1.0,2.0,16.3636363636,184.712194036,184.848557673,0.229592419226,0.770407580774
WLW1,1.0,3.0,30.0,184.5758304,184.712194036,0.263785820299,0.736214179701
WLW1,2.0,4.0,39.3103448276,184.482726952,184.5758304,0.295125014271,0.704874985729
WLW1,2.0,5.0,49.6551724138,184.379278676,184.482726952,0.319671195342,0.680328804658
WLW1,2.0,6.0,60.0,184.2758304,184.379278676,0.352209156296,0.647790843704
WLW1,3.0,7.0,60.0,184.2758304,184.2758304,0.414773375956,0.585226624044
WLW1,3.0,8.0,75.0,184.1258304,184.2758304,0.414773375956,0.585226624044
WLW1,3.0,9.0,90.0,183.9758304,184.1258304,0.481162233132,0.518837766868
WLW1,4.0,10.0,100.0,183.8758304,183.9758304,1.0,0.0
WLW1,4.0,11.0,110.0,183.7758304,183.8758304,1.0,0.0
WLW1,4.0,12.0,120.0,183.6758304,183.7758304,1.0,0.0
WLW2,1.0,1.0,0.0,184.8066408,184.8066408,0.416086311223,0.583913688777
WLW2,1.0,2.0,15.0,184.6566408,184.8066408,0.416086311223,0.583913688777
WLW2,1.0,3.0,30.0,184.5066408,184.6566408,0.430014841877,0.569985158123
WLW2,2.0,4.0,40.0,184.4066408,184.5066408,0.489211097157,0.510788902843
WLW2,2.0,5.0,50.0,184.3066408,184.4066408,0.526258705332,0.473741294668
WLW2,2.0,6.0,60.0,184.2066408,184.3066408,0.560908779541,0.439091220459
WLW2,3.0,7.0,70.0,184.1066408,184.2066408,0.601153099669,0.398846900331
WLW2,3.0,8.0,80.0,184.0066408,184.1066408,0.651786733645,0.348213266355
WLW2,3.0,9.0,90.0,183.9066408,184.0066408,0.748201849526,0.251798150474
WLW2,4.0,10.0,100.0,183.8066408,183.9066408,0.98675647905,0.0132435209499
WLW2,4.0,11.0,110.0,183.7066408,183.8066408,1.0,0.0
WLW2,4.0,12.0,120.0,183.6066408,183.7066408,1.0,0.0
WLW3,1.0,1.0,0.0,184.8697344,184.8697344,0.398104806485,0.601895193515
WLW3,1.0,2.0,14.2105263158,184.727629137,184.8697344,0.398104806485,0.601895193515
WLW3,1.0,3.0,30.0,184.5697344,184.727629137,0.461867793127,0.538132206873
WLW3,2.0,4.0,30.0,184.5697344,184.5697344,0.585055371618,0.414944628382
WLW3,2.0,5.0,45.0,184.4197344,184.5697344,0.585055371618,0.414944628382
WLW3,2.0,6.0,60.0,184.2697344,184.4197344,0.696711953419,0.303288046581
WLW3,3.0,7.0,60.0,184.2697344,184.2697344,0.832515127298,0.167484872702
WLW3,3.0,8.0,75.0,184.1197344,184.2697344,0.832515127298,0.167484872702
WLW3,3.0,9.0,90.0,183.9697344,184.1197344,0.940289987441,0.0597100125585
WLW3,4.0,10.0,100.0,183.8697344,183.9697344,0.988982760589,0.0110172394109
WLW3,4.0,11.0,110.0,183.7697344,183.8697344,0.999885831716,0.000114168284051
WLW3,4.0,12.0,120.0,183.6697344,183.7697344,1.0,0.0
WLW4,1.0,1.0,0.0,184.751472,184.751472,0.405639913232,0.594360086768
WLW4,1.0,2.0,14.2105263158,184.609366737,184.751472,0.405639913232,0.594360086768
WLW4,1.0,3.0,30.0,184.451472,184.609366737,0.542698938235,0.457301061765
WLW4,2.0,4.0,30.0,184.451472,184.451472,0.664402329033,0.335597670967
WLW4,2.0,5.0,41.25,184.338972,184.451472,0.664402329033,0.335597670967
WLW4,2.0,6.0,60.0,184.151472,184.338972,0.763899988583,0.236100011417
WLW4,3.0,7.0,60.0,184.151472,184.151472,0.888743007193,0.111256992807
WLW4,3.0,8.0,75.7142857143,183.994329143,184.151472,0.888743007193,0.111256992807
WLW4,3.0,9.0,90.0,183.851472,183.994329143,0.963180728394,0.0368192716063
WLW4,4.0,10.0,100.0,183.751472,183.851472,0.999600411006,0.000399588994177
WLW4,4.0,11.0,110.0,183.651472,183.751472,1.0,0.0
WLW4,4.0,12.0,120.0,183.551472,183.651472,1.0,0.0
WLW5,1.0,1.0,5.0,184.751764,184.801764,0.399874414888,0.600125585112
WLW5,1.0,2.0,17.5,184.626764,184.751764,0.454732275374,0.545267724626
WLW5,1.0,3.0,30.0,184.501764,184.626764,0.598127640142,0.401872359858
WLW5,2.0,4.0,36.9230769231,184.432533231,184.501764,0.719088937093,0.280911062907
WLW5,2.0,5.0,48.4615384615,184.317148615,184.432533231,0.779940632492,0.220059367508
WLW5,2.0,6.0,60.0,184.201764,184.317148615,0.85146706245,0.14853293755
WLW5,3.0,7.0,66.0,184.141764,184.201764,0.899588994177,0.100411005823
WLW5,3.0,8.0,78.0,184.021764,184.141764,0.931099440575,0.0689005594246
WLW5,3.0,9.0,90.0,183.901764,184.021764,0.990581116566,0.00941888343418
WLW5,4.0,10.0,98.5714285714,183.816049714,183.901764,1.0,0.0
WLW5,4.0,11.0,109.285714286,183.708906857,183.816049714,1.0,0.0
WLW5,4.0,12.0,120.0,183.601764,183.708906857,1.0,0.0
WLW6,1.0,1.0,8.57142857143,185.017496914,185.1032112,0.0335083913689,0.966491608631
WLW6,1.0,2.0,19.2857142857,184.910354057,185.017496914,0.14430871104,0.85569128896
WLW6,1.0,3.0,30.0,184.8032112,184.910354057,0.32863340564,0.67136659436
WLW6,2.0,4.0,37.7777777778,184.725433422,184.8032112,0.417741751341,0.582258248659
WLW6,2.0,5.0,48.8888888889,184.614322311,184.725433422,0.458728165316,0.541271834684
WLW6,2.0,6.0,60.0,184.5032112,184.614322311,0.51409978308,0.48590021692
WLW6,3.0,7.0,60.0,184.5032112,184.5032112,0.596700536591,0.403299463409
WLW6,3.0,8.0,75.7142857143,184.346068343,184.5032112,0.596700536591,0.403299463409
WLW6,3.0,9.0,90.0,184.2032112,184.346068343,0.739924648933,0.260075351067
WLW6,4.0,10.0,97.7777777778,184.125433422,184.2032112,0.83679643795,0.16320356205
WLW6,4.0,11.0,108.888888889,184.014322311,184.125433422,1.0,0.0
WLW6,4.0,12.0,120.0,183.9032112,184.014322311,1.0,0.0
WLW7,1.0,1.0,7.77777777778,185.930689422,186.0084672,0.031510446398,0.968489553602
WLW7,1.0,2.0,18.8888888889,185.819578311,185.930689422,0.0785477794269,0.921452220573
WLW7,1.0,3.0,30.0,185.7084672,185.819578311,0.134490238612,0.865509761388
WLW7,2.0,4.0,40.0,185.6084672,185.7084672,0.175819157438,0.824180842562
WLW7,2.0,5.0,50.0,185.5084672,185.6084672,0.220173535792,0.779826464208
WLW7,2.0,6.0,60.0,185.4084672,185.5084672,0.268637972371,0.731362027629
WLW7,3.0,7.0,60.0,185.4084672,185.4084672,0.313848612855,0.686151387145
WLW7,3.0,8.0,75.7142857143,185.251324343,185.4084672,0.313848612855,0.686151387145
WLW7,3.0,9.0,90.0,185.1084672,185.251324343,0.374700308254,0.625299691746
WLW7,4.0,10.0,96.0,185.0484672,185.1084672,0.418997602466,0.581002397534
WLW7,4.0,11.0,108.0,184.9284672,185.0484672,1.0,0.0
WLW7,4.0,12.0,120.0,184.8084672,184.9284672,1.0,0.0
WLW8,1.0,1.0,5.0,186.5138128,186.5638128,0.00599383491266,0.994006165087
WLW8,1.0,2.0,17.5,186.3888128,186.5138128,0.022434067816,0.977565932184
WLW8,1.0,3.0,30.0,186.2638128,186.3888128,0.0656467633291,0.934353236671
WLW8,2.0,4.0,36.9230769231,186.194582031,186.2638128,0.115538303459,0.884461696541
WLW8,2.0,5.0,48.4615384615,186.079197415,186.194582031,0.16234729992,0.83765270008
WLW8,2.0,6.0,60.0,185.9638128,186.079197415,0.221143966206,0.778856033794
WLW8,3.0,7.0,70.0,185.8638128,185.9638128,0.266925448111,0.733074551889
WLW8,3.0,8.0,80.0,185.7638128,185.8638128,0.359230505765,0.640769494235
WLW8,3.0,9.0,90.0,185.6638128,185.7638128,0.388743007193,0.611256992807
WLW8,4.0,10.0,100.0,185.5638128,185.6638128,1.0,0.0
WLW8,4.0,11.0,110.0,185.4638128,185.5638128,1.0,0.0
WLW8,4.0,12.0,120.0,185.3638128,185.4638128,1.0,0.0
WLW9,1.0,1.0,6.0,185.497668,185.557668,0.0,1.0
WLW9,1.0,2.0,18.0,185.377668,185.497668,0.0110172394109,0.988982760589
WLW9,1.0,3.0,30.0,185.257668,185.377668,0.07666400274,0.92333599726
WLW9,2.0,4.0,37.7777777778,185.179890222,185.257668,0.180842561936,0.819157438064
WLW9,2.0,5.0,48.8888888889,185.068779111,185.179890222,0.234672907866,0.765327092134
WLW9,2.0,6.0,60.0,184.957668,185.068779111,0.295752939833,0.704247060167
WLW9,3.0,7.0,68.5714285714,184.871953714,184.957668,0.35061080032,0.64938919968
WLW9,3.0,8.0,79.2857142857,184.764810857,184.871953714,0.378981618906,0.621018381094
WLW9,3.0,9.0,90.0,184.657668,184.764810857,0.390341363169,0.609658636831
WLW9,4.0,10.0,98.5714285714,184.571953714,184.657668,0.422080146135,0.577919853865
WLW9,4.0,11.0,109.285714286,184.464810857,184.571953714,1.0,0.0
WLW9,4.0,12.0,120.0,184.357668,184.464810857,1.0,0.0
WLW10,1.0,1.0,10.0,185.0565512,185.1565512,0.00656467633291,0.993435323667
WLW10,1.0,2.0,20.0,184.9565512,185.0565512,0.169083228679,0.830916771321
WLW10,1.0,3.0,30.0,184.8565512,184.9565512,0.282509418883,0.717490581117
WLW10,2.0,4.0,36.9230769231,184.787320431,184.8565512,0.394166000685,0.605833999315
WLW10,2.0,5.0,48.4615384615,184.671935815,184.787320431,0.442858773833,0.557141226167
WLW10,2.0,6.0,60.0,184.5565512,184.671935815,0.510674734559,0.489325265441
WLW10,3.0,7.0,66.9230769231,184.487320431,184.5565512,0.594873844046,0.405126155954
WLW10,3.0,8.0,78.4615384615,184.371935815,184.487320431,0.665429843589,0.334570156411
WLW10,3.0,9.0,90.0,184.2565512,184.371935815,0.780397305628,0.219602694372
WLW10,4.0,10.0,95.0,184.2065512,184.2565512,0.999942915858,5.70841420253e-05
WLW10,4.0,11.0,107.5,184.0815512,184.2065512,1.0,0.0
WLW10,4.0,12.0,120.0,183.9565512,184.0815512,1.0,0.0
