well,core,section,section_recovery_cm,factor,section_length_cm,cum_depth_cm,bottom_elev_m,top_elev_m,inundation_fraction,dry_fraction
WLW1,1.0,1.0,2,1.36363636364,2.72727272727,2.72727272727,184.848557673,184.8758304,0.197529593412,0.802470406588
WLW1,1.0,2.0,10,1.36363636364,13.6363636364,16.3636363636,184.712194036,184.848557673,0.206999485332,0.793000514668
WLW1,1.0,3.0,10,1.36363636364,13.6363636364,30.0,184.5758304,184.712194036,0.237828100875,0.762171899125
WLW1,2.0,4.0,9,1.03448275862,9.31034482759,39.3103448276,184.482726952,184.5758304,0.266083376222,0.733916623778
WLW1,2.0,5.0,10,1.03448275862,10.3448275862,49.6551724138,184.379278676,184.482726952,0.288214101904,0.711785898096
WLW1,2.0,6.0,10,1.03448275862,10.3448275862,60.0,184.2758304,184.379278676,0.317550180134,0.682449819866
WLW1,3.0,7.0,0,1.5,0.0,60.0,184.2758304,184.2758304,0.373957797221,0.626042202779
WLW1,3.0,8.0,10,1.5,15.0,75.0,184.1258304,184.2758304,0.373957797221,0.626042202779
WLW1,3.0,9.0,10,1.5,15.0,90.0,183.9758304,184.1258304,0.434379825013,0.565620174987
WLW1,4.0,10.0,10,1.0,10.0,100.0,183.8758304,183.9758304,1.0,0.0
WLW1,4.0,11.0,10,1.0,10.0,110.0,183.7758304,183.8758304,1.0,0.0
WLW1,4.0,12.0,10,1.0,10.0,120.0,183.6758304,183.7758304,1.0,0.0
WLW2,1.0,1.0,0,1.5,0.0,0.0,184.8066408,184.8066408,0.375122227369,0.624877772631
WLW2,1.0,2.0,10,1.5,15.0,15.0,184.6566408,184.8066408,0.375122227369,0.624877772631
WLW2,1.0,3.0,10,1.5,15.0,30.0,184.5066408,184.6566408,0.387679481241,0.612320518759
WLW2,2.0,4.0,10,1.0,10.0,40.0,184.4066408,184.5066408,0.4410478102,0.5589521898
WLW2,2.0,5.0,10,1.0,10.0,50.0,184.3066408,184.4066408,0.476146364057,0.523853635943
WLW2,2.0,6.0,10,1.0,10.0,60.0,184.2066408,184.3066408,0.51021563481,0.48978436519
WLW2,3.0,7.0,10,1.0,10.0,70.0,184.1066408,184.2066408,0.549534249395,0.450465750605
WLW2,3.0,8.0,10,1.0,10.0,80.0,184.0066408,184.1066408,0.592506819001,0.407493180999
WLW2,3.0,9.0,10,1.0,10.0,90.0,183.9066408,184.0066408,0.691832638567,0.308167361433
WLW2,4.0,10.0,10,1.0,10.0,100.0,183.8066408,183.9066408,0.98806031599,0.0119396840101
WLW2,4.0,11.0,10,1.0,10.0,110.0,183.7066408,183.8066408,1.0,0.0
WLW2,4.0,12.0,10,1.0,10.0,120.0,183.6066408,183.7066408,1.0,0.0
WLW3,1.0,1.0,0,1.57894736842,0.0,0.0,184.8697344,184.8697344,0.358855613873,0.641144386127
WLW3,1.0,2.0,9,1.57894736842,14.2105263158,14.2105263158,184.727629137,184.8697344,0.358855613873,0.641144386127
WLW3,1.0,3.0,10,1.57894736842,15.7894736842,30.0,184.5697344,184.727629137,0.418390449727,0.581609550273
WLW3,2.0,4.0,0,1.5,0.0,30.0,184.5697344,184.5697344,0.537357209015,0.462642790985
WLW3,2.0,5.0,10,1.5,15.0,45.0,184.4197344,184.5697344,0.537357209015,0.462642790985
WLW3,2.0,6.0,10,1.5,15.0,60.0,184.2697344,184.4197344,0.6500977668,0.3499022332
WLW3,3.0,7.0,0,1.5,0.0,60.0,184.2697344,184.2697344,0.79741689822,0.20258310178
WLW3,3.0,8.0,10,1.5,15.0,75.0,184.1197344,184.2697344,0.79741689822,0.20258310178
WLW3,3.0,9.0,10,1.5,15.0,90.0,183.9697344,184.1197344,0.903005042709,0.0969949572913
WLW3,4.0,10.0,10,1.0,10.0,100.0,183.8697344,183.9697344,0.965061232891,0.0349387671092
WLW3,4.0,11.0,10,1.0,10.0,110.0,183.7697344,183.8697344,0.988473808789,0.0115261912113
WLW3,4.0,12.0,10,1.0,10.0,120.0,183.6697344,183.7697344,1.0,0.0
WLW4,1.0,1.0,0,1.57894736842,0.0,0.0,184.751472,184.751472,0.365704286964,0.634295713036
WLW4,1.0,2.0,9,1.57894736842,14.2105263158,14.2105263158,184.609366737,184.751472,0.365704286964,0.634295713036
WLW4,1.0,3.0,10,1.57894736842,15.7894736842,30.0,184.451472,184.609366737,0.494313210849,0.505686789151
WLW4,2.0,4.0,0,1.875,0.0,30.0,184.451472,184.451472,0.611394163965,0.388605836035
WLW4,2.0,5.0,6,1.875,11.25,41.25,184.338972,184.451472,0.611394163965,0.388605836035
WLW4,2.0,6.0,10,1.875,18.75,60.0,184.151472,184.338972,0.709176058875,0.290823941125
WLW4,3.0,7.0,0,1.42857142857,0.0,60.0,184.151472,184.151472,0.850393700787,0.149606299213
WLW4,3.0,8.0,11,1.42857142857,15.7142857143,75.7142857143,183.994329143,184.151472,0.850393700787,0.149606299213
WLW4,3.0,9.0,10,1.42857142857,14.2857142857,90.0,183.851472,183.994329143,0.928619216716,0.0713807832844
WLW4,4.0,10.0,10,1.0,10.0,100.0,183.751472,183.851472,0.983737326952,0.0162626730482
WLW4,4.0,11.0,10,1.0,10.0,110.0,183.651472,183.751472,1.0,0.0
WLW4,4.0,12.0,10,1.0,10.0,120.0,183.551472,183.651472,1.0,0.0
WLW5,1.0,1.0,4,1.25,5.0,5.0,184.751764,184.801764,0.360465116279,0.639534883721
WLW5,1.0,2.0,10,1.25,12.5,17.5,184.626764,184.751764,0.411401522947,0.588598477053
WLW5,1.0,3.0,10,1.25,12.5,30.0,184.501764,184.626764,0.548621115456,0.451378884544
WLW5,2.0,4.0,6,1.15384615385,6.92307692308,36.9230769231,184.432533231,184.501764,0.665569047129,0.334430952871
WLW5,2.0,5.0,10,1.15384615385,11.5384615385,48.4615384615,184.317148615,184.432533231,0.727670302531,0.272329697469
WLW5,2.0,6.0,10,1.15384615385,11.5384615385,60.0,184.201764,184.317148615,0.805309734513,0.194690265487
WLW5,3.0,7.0,5,1.2,6.0,66.0,184.141764,184.201764,0.856349043013,0.143650956987
WLW5,3.0,8.0,10,1.2,12.0,78.0,184.021764,184.141764,0.88449269397,0.11550730603
WLW5,3.0,9.0,10,1.2,12.0,90.0,183.901764,184.021764,0.957604445359,0.0423955546409
WLW5,4.0,10.0,8,1.07142857143,8.57142857143,98.5714285714,183.816049714,183.901764,0.99531796666,0.00468203334019
WLW5,4.0,11.0,10,1.07142857143,10.7142857143,109.285714286,183.708906857,183.816049714,1.0,0.0
WLW5,4.0,12.0,10,1.07142857143,10.7142857143,120.0,183.601764,183.708906857,1.0,0.0
WLW6,1.0,1.0,8,1.07142857143,8.57142857143,8.57142857143,185.017496914,185.1032112,0.0301985801008,0.969801419899
WLW6,1.0,2.0,10,1.07142857143,10.7142857143,19.2857142857,184.910354057,185.017496914,0.130054532359,0.869945467641
WLW6,1.0,3.0,10,1.07142857143,10.7142857143,30.0,184.8032112,184.910354057,0.296172445725,0.703827554275
WLW6,2.0,4.0,7,1.11111111111,7.77777777778,37.7777777778,184.725433422,184.8032112,0.376479061632,0.623520938368
WLW6,2.0,5.0,10,1.11111111111,11.1111111111,48.8888888889,184.614322311,184.725433422,0.413417018212,0.586582981788
WLW6,2.0,6.0,10,1.11111111111,11.1111111111,60.0,184.5032112,184.614322311,0.46331927153,0.53668072847
WLW6,3.0,7.0,0,1.42857142857,0.0,60.0,184.5032112,184.5032112,0.537761086532,0.462238913468
WLW6,3.0,8.0,11,1.42857142857,15.7142857143,75.7142857143,184.346068343,184.5032112,0.537761086532,0.462238913468
WLW6,3.0,9.0,10,1.42857142857,14.2857142857,90.0,184.2032112,184.346068343,0.666838152073,0.333161847927
WLW6,4.0,10.0,7,1.11111111111,7.77777777778,97.7777777778,184.125433422,184.2032112,0.756867990534,0.243132009466
WLW6,4.0,11.0,10,1.11111111111,11.1111111111,108.888888889,184.014322311,184.125433422,1.0,0.0
WLW6,4.0,12.0,10,1.11111111111,11.1111111111,120.0,183.9032112,184.014322311,1.0,0.0
WLW7,1.0,1.0,7,1.11111111111,7.77777777778,7.77777777778,185.930689422,186.0084672,0.0283877603497,0.97161223965
WLW7,1.0,2.0,10,1.11111111111,11.1111111111,18.8888888889,185.819578311,185.930689422,0.0707636924659,0.929236307534
WLW7,1.0,3.0,10,1.11111111111,11.1111111111,30.0,185.7084672,185.819578311,0.121162252507,0.878837747493
WLW7,2.0,4.0,10,1.0,10.0,40.0,185.6084672,185.7084672,0.158395474415,0.841604525585
WLW7,2.0,5.0,10,1.0,10.0,50.0,185.5084672,185.6084672,0.198354332733,0.801645667267
WLW7,2.0,6.0,10,1.0,10.0,60.0,185.4084672,185.5084672,0.242015942402,0.757984057598
WLW7,3.0,7.0,0,1.42857142857,0.0,60.0,185.4084672,185.4084672,0.282746207251,0.717253792749
WLW7,3.0,8.0,11,1.42857142857,15.7142857143,75.7142857143,185.251324343,185.4084672,0.282746207251,0.717253792749
WLW7,3.0,9.0,10,1.42857142857,14.2857142857,90.0,185.1084672,185.251324343,0.337567498071,0.662432501929
WLW7,4.0,10.0,5,1.2,6.0,96.0,185.0484672,185.1084672,0.377474929288,0.622525070712
WLW7,4.0,11.0,10,1.2,12.0,108.0,184.9284672,185.0484672,1.0,0.0
WLW7,4.0,12.0,10,1.2,12.0,120.0,184.8084672,184.9284672,1.0,0.0
WLW8,1.0,1.0,4,1.25,5.0,5.0,186.5138128,186.5638128,0.00539956803456,0.994600431965
WLW8,1.0,2.0,10,1.25,12.5,17.5,186.3888128,186.5138128,0.0202098117865,0.979790188214
WLW8,1.0,3.0,10,1.25,12.5,30.0,186.2638128,186.3888128,0.0591381260928,0.940861873907
WLW8,2.0,4.0,6,1.15384615385,6.92307692308,36.9230769231,186.194582031,186.2638128,0.104083101923,0.895916898077
WLW8,2.0,5.0,10,1.15384615385,11.5384615385,48.4615384615,186.079197415,186.194582031,0.14625115705,0.85374884295
WLW8,2.0,6.0,10,1.15384615385,11.5384615385,60.0,185.9638128,186.079197415,0.199218348246,0.800781651754
WLW8,3.0,7.0,10,1.0,10.0,70.0,185.8638128,185.9638128,0.240460763139,0.759539236861
WLW8,3.0,8.0,10,1.0,10.0,80.0,185.7638128,185.8638128,0.323614110871,0.676385889129
WLW8,3.0,9.0,10,1.0,10.0,90.0,185.6638128,185.7638128,0.350200555384,0.649799444616
WLW8,4.0,10.0,10,1.0,10.0,100.0,185.5638128,185.6638128,1.0,0.0
WLW8,4.0,11.0,10,1.0,10.0,110.0,185.4638128,185.5638128,1.0,0.0
WLW8,4.0,12.0,10,1.0,10.0,120.0,185.3638128,185.4638128,1.0,0.0
WLW9,1.0,1.0,5,1.2,6.0,6.0,185.497668,185.557668,0.0,1.0
WLW9,1.0,2.0,10,1.2,12.0,18.0,185.377668,185.497668,0.00992492029209,0.990075079708
WLW9,1.0,3.0,10,1.2,12.0,30.0,185.257668,185.377668,0.0690630463849,0.930936953615
WLW9,2.0,4.0,7,1.11111111111,7.77777777778,37.7777777778,185.179890222,185.257668,0.162912681271,0.837087318729
WLW9,2.0,5.0,10,1.11111111111,11.1111111111,48.8888888889,185.068779111,185.179890222,0.211405944667,0.788594055333
WLW9,2.0,6.0,10,1.11111111111,11.1111111111,60.0,184.957668,185.068779111,0.266430114162,0.733569885838
WLW9,3.0,7.0,8,1.07142857143,8.57142857143,68.5714285714,184.871953714,184.957668,0.315849017793,0.684150982207
WLW9,3.0,8.0,10,1.07142857143,10.7142857143,79.2857142857,184.764810857,184.871953714,0.341406973156,0.658593026844
WLW9,3.0,9.0,10,1.07142857143,10.7142857143,90.0,184.657668,184.764810857,0.351640440193,0.648359559807
WLW9,4.0,10.0,8,1.07142857143,8.57142857143,98.5714285714,184.571953714,184.657668,0.380232438548,0.619767561452
WLW9,4.0,11.0,10,1.07142857143,10.7142857143,109.285714286,184.464810857,184.571953714,1.0,0.0
WLW9,4.0,12.0,10,1.07142857143,10.7142857143,120.0,184.357668,184.464810857,1.0,0.0
WLW10,1.0,1.0,10,1.0,10.0,10.0,185.0565512,185.1565512,0.00591533357338,0.994084666427
WLW10,1.0,2.0,10,1.0,10.0,20.0,184.9565512,185.0565512,0.152358417777,0.847641582223
WLW10,1.0,3.0,10,1.0,10.0,30.0,184.8565512,184.9565512,0.254565094388,0.745434905612
WLW10,2.0,4.0,6,1.15384615385,6.92307692308,36.9230769231,184.787320431,184.8565512,0.355177202819,0.644822797181
WLW10,2.0,5.0,10,1.15384615385,11.5384615385,48.4615384615,184.671935815,184.787320431,0.399053546628,0.600946453372
WLW10,2.0,6.0,10,1.15384615385,11.5384615385,60.0,184.5565512,184.671935815,0.460161514325,0.539838485675
WLW10,3.0,7.0,6,1.15384615385,6.92307692308,66.9230769231,184.487320431,184.5565512,0.536032097114,0.463967902886
WLW10,3.0,8.0,10,1.15384615385,11.5384615385,78.4615384615,184.371935815,184.487320431,0.599609073607,0.400390926393
WLW10,3.0,9.0,10,1.15384615385,11.5384615385,90.0,184.2565512,184.371935815,0.711486034669,0.288513965331
WLW10,4.0,10.0,4,1.25,5.0,95.0,184.2065512,184.2565512,0.999897124634,0.000102875366493
WLW10,4.0,11.0,10,1.25,12.5,107.5,184.0815512,184.2065512,1.0,0.0
WLW10,4.0,12.0,10,1.25,12.5,120.0,183.9565512,184.0815512,1.0,0.0
